domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_policy_over_no_action,early_detection,0.0,0.0,oxford_wildbird_network,0.0117647058823529,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.25,oxford_wildbird_network,0.0029411764705882,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.5,oxford_wildbird_network,0.0014705882352941,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.0,oxford_wildbird_network,0.0073529411764705,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.25,oxford_wildbird_network,0.0014705882352941,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.5,oxford_wildbird_network,0.0014705882352941,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.0,radolfzell_great_tits_ontogeny,0.0231275095910783,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.25,radolfzell_great_tits_ontogeny,0.0115054761817426,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.5,radolfzell_great_tits_ontogeny,0.0033310957353717,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.0,radolfzell_great_tits_ontogeny,0.021573669714105,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.25,radolfzell_great_tits_ontogeny,0.0093945638382721,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.5,radolfzell_great_tits_ontogeny,0.0028838685439584,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.0,radolfzell_great_tits_ontogeny,0.024856313995587,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.25,radolfzell_great_tits_ontogeny,0.0152197909415848,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.5,radolfzell_great_tits_ontogeny,0.0051495433841828,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.0,radolfzell_great_tits_ontogeny,0.0232702048620701,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.25,radolfzell_great_tits_ontogeny,0.0135557481656389,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.5,radolfzell_great_tits_ontogeny,0.0042768712713111,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
